title,rating,comments_count,director,writer,actors,genres,country_region,release_year,link
教父3 The Godfather: Part III,9.0,432075,弗朗西斯·福特·科波拉,马里奥·普佐/弗朗西斯·福特·科波拉,阿尔·帕西诺/黛安·基顿/塔莉娅·夏尔/安迪·加西亚/伊莱·瓦拉赫,剧情/犯罪,,1990,https://movie.douban.com/subject/1294240/
侧耳倾听 耳をすませば,8.9,520346,近藤喜文,宫崎骏/柊葵,本名阳子/小林桂树/高山南/高桥一生/山下容莉枝,剧情/爱情/动画,,1995,https://movie.douban.com/subject/1297052/
哪吒闹海,9.2,308105,王树忱,王树忱,梁正晖/邱岳峰/毕克/富润生/尚华,动画/奇幻/冒险,,1979,https://movie.douban.com/subject/1307315/
九品芝麻官,8.8,793701,王晶,[佚名]/王晶,周星驰/吴孟达/张敏/徐锦江/钟丽缇,剧情/喜剧/古装,,1994,https://movie.douban.com/subject/1297518/
被解救的姜戈 Django Unchained,8.8,692000,昆汀·塔伦蒂诺,昆汀·塔伦蒂诺,杰米·福克斯/莱昂纳多·迪卡普里奥/克里斯托弗·瓦尔兹/塞缪尔·杰克逊/凯丽·华盛顿,剧情/动作/西部/冒险,,2013,https://movie.douban.com/subject/6307447/
请以你的名字呼唤我 Call Me by Your Name,8.8,823937,卢卡·瓜达尼诺,詹姆斯·伊沃里/安德烈·艾席蒙,艾米·汉莫/提莫西·查拉梅/迈克尔·斯图巴/阿蜜拉·卡萨/艾斯特·加瑞尔,剧情/爱情/同性,,2017,https://movie.douban.com/subject/26799731/
幸福终点站 The Terminal,8.8,641896,史蒂文·斯皮尔伯格,安德鲁·尼科尔/萨沙·杰瓦西/杰夫·内桑森,汤姆·汉克斯/凯瑟琳·泽塔-琼斯/斯坦利·图齐/齐·麦克布赖德/迭戈·卢纳,剧情/喜剧/爱情,,2005,https://movie.douban.com/subject/1292274/
釜山行 부산행,8.6,1349517,延尚昊,延尚昊,孔刘/郑裕美/马东锡/金秀安/金义城,动作/惊悚/灾难,,2016,https://movie.douban.com/subject/25986180/
神偷奶爸 Despicable Me,8.7,1046397,皮埃尔·柯芬,肯·道里欧/塞尔希奥·巴勃罗斯/辛科·保罗,史蒂夫·卡瑞尔/杰森·席格尔/拉塞尔·布兰德/朱莉·安德鲁斯/威尔·阿奈特,喜剧/动画/冒险,,2010,https://movie.douban.com/subject/3287562/
小森林 冬春篇 リトル・フォレスト 冬・春,9.0,420449,森淳一,森淳一/五十岚大介,桥本爱/三浦贵大/松冈茉优/温水洋一/桐岛加恋,剧情,,2015,https://movie.douban.com/subject/25814707/
喜宴 囍宴,9.0,431442,李安,李安/冯光远/詹姆斯·夏慕斯,赵文瑄/归亚蕾/郎雄/金素梅/米切尔·利希藤斯坦,剧情/喜剧/爱情/同性/家庭,,1993,https://movie.douban.com/subject/1303037/
萤火之森 蛍火の杜へ,8.8,610719,大森贵弘,绿川幸,佐仓绫音/内山昂辉/辻亲八/山本兼平/后藤弘树,剧情/爱情/动画/奇幻,,2011,https://movie.douban.com/subject/5989818/
告白,8.8,743723,中岛哲也,中岛哲也/凑佳苗,松隆子/冈田将生/木村佳乃/西井幸人/桥本爱,剧情/悬疑,,2010,https://movie.douban.com/subject/4268598/
玛丽和麦克斯 Mary and Max,9.0,470630,亚当·艾略特,亚当·艾略特,托妮·科莱特/菲利普·塞默·霍夫曼/巴瑞·哈姆弗莱斯/艾瑞克·巴纳/贝塔尼·维特莫尔,剧情/喜剧/动画,,2025,https://movie.douban.com/subject/3072124/
七武士 七人の侍,9.3,235526,黑泽明,黑泽明/桥本忍/小国英雄,三船敏郎/志村乔/津岛惠子/岛崎雪子/藤原釜足,剧情/动作/冒险,,1954,https://movie.douban.com/subject/1295399/
头号玩家 Ready Player One,8.6,1516433,史蒂文·斯皮尔伯格,塞克·潘/恩斯特·克莱恩,泰伊·谢里丹/奥利维亚·库克/本·门德尔森/马克·里朗斯/丽娜·维特,动作/科幻/冒险,,2018,https://movie.douban.com/subject/4920389/
模仿游戏 The Imitation Game,8.8,720011,莫滕·泰杜姆,格拉汉姆·摩尔/安德鲁·霍奇斯,本尼迪克特·康伯巴奇/凯拉·奈特莉/马修·古迪/罗里·金尼尔/艾伦·里奇,剧情/同性/传记/战争,,2015,https://movie.douban.com/subject/10463953/
惊魂记 Psycho,9.0,356324,阿尔弗雷德·希区柯克,约瑟夫·斯蒂凡诺/罗伯特·布洛克,安东尼·博金斯/维拉·迈尔斯/约翰·加文/珍妮特·利/马丁·鲍尔萨姆,悬疑/惊悚/恐怖,,1960,https://movie.douban.com/subject/1293181/
大鱼 Big Fish,8.8,626925,蒂姆·波顿,丹尼尔·华莱士/约翰·奥古斯特,伊万·麦克格雷格/阿尔伯特·芬尼/比利·克鲁德普/杰西卡·兰格/海伦娜·伯翰·卡特,剧情/爱情/奇幻/冒险,,2003,https://movie.douban.com/subject/1291545/
心灵奇旅 Soul,8.7,1142198,彼特·道格特,彼特·道格特/麦克·琼斯/凯普·鲍尔斯,杰米·福克斯/蒂娜·菲/菲利西亚·拉斯海德/阿米尔-卡利布·汤普森/戴维德·迪格斯,动画/音乐/奇幻,,2020,https://movie.douban.com/subject/24733428/
射雕英雄传之东成西就 射鵰英雄傳之東成西就,8.7,717962,刘镇伟,刘镇伟,梁朝伟/林青霞/张国荣/叶玉卿/张学友,喜剧/奇幻/武侠/古装,,1993,https://movie.douban.com/subject/1316510/
血战钢锯岭 Hacksaw Ridge,8.7,859621,梅尔·吉布森,安德鲁·奈特/罗伯特·申坎,安德鲁·加菲尔德/萨姆·沃辛顿/文斯·沃恩/雨果·维文/卢克·布雷西,剧情/传记/历史/战争,,2016,https://movie.douban.com/subject/26325320/
背靠背，脸对脸,9.5,179789,黄建新,黄建新/孙毅安/刘醒龙,牛振华/雷恪生/李强/句号/王劲松,剧情,,1994,https://movie.douban.com/subject/1307856/
你的名字。 君の名は。,8.5,1592658,新海诚,新海诚,神木隆之介/上白石萌音/长泽雅美/市原悦子/成田凌,剧情/爱情/动画,,2016,https://movie.douban.com/subject/26683290/
机器人之梦 Robot Dreams,9.1,436537,巴勃罗·贝格尔,巴勃罗·贝格尔/萨拉·瓦伦,伊万·拉班达,剧情/动画/音乐,,2024,https://movie.douban.com/subject/35426925/
我是山姆 I Am Sam,9.0,376572,杰茜·尼尔森,杰茜·尼尔森/克里斯汀·约翰逊,西恩·潘/达科塔·范宁/米歇尔·菲佛/黛安·韦斯特/洛雷塔·迪瓦恩,剧情/家庭,,2001,https://movie.douban.com/subject/1306861/
阳光姐妹淘 써니,8.8,638586,姜炯哲,姜炯哲/李炳宪,沈恩敬/闵孝琳/姜素拉/南宝拉/陈熙琼,剧情/喜剧,,2011,https://movie.douban.com/subject/4917726/
恐怖直播 더 테러 라이브,8.7,728370,金秉祐,金秉祐,河正宇/李璟荣/全慧珍/李大卫/金弘波,剧情/悬疑/犯罪,,2013,https://movie.douban.com/subject/21360417/
黑客帝国3：矩阵革命 The Matrix Revolutions,8.8,497410,拉娜·沃卓斯基,莉莉·沃卓斯基/拉娜·沃卓斯基,基努·里维斯/劳伦斯·菲什伯恩/凯瑞-安·莫斯/雨果·维文/贾达·萍克特·史密斯,动作/科幻,,2003,https://movie.douban.com/subject/1302467/
小丑 Joker,8.7,1125523,托德·菲利普斯,托德·菲利普斯/斯科特·西尔弗,华金·菲尼克斯/罗伯特·德尼罗/马克·马龙/莎姬·贝兹/谢伊·惠格姆,剧情/惊悚/犯罪,,2019,https://movie.douban.com/subject/27119724/
末路狂花 Thelma & Louise,9.0,347088,雷德利·斯科特,卡莉·克里,吉娜·戴维斯/苏珊·萨兰登/哈威·凯特尔/迈克尔·马德森/布拉德·皮特,剧情/惊悚/犯罪,,1991,https://movie.douban.com/subject/1291992/
"三块广告牌 Three Billboards Outside Ebbing, Missouri",8.7,920199,马丁·麦克唐纳,马丁·麦克唐纳,弗兰西斯·麦克多蒙德/伍迪·哈里森/山姆·洛克威尔/艾比·考尼什/卢卡斯·赫奇斯,剧情/犯罪,,2018,https://movie.douban.com/subject/26611804/
谍影重重3 The Bourne Ultimatum,8.9,471008,保罗·格林格拉斯,托尼·吉尔罗伊/斯科特·Z·本恩斯/乔治·诺非/罗伯特·陆德伦,马特·达蒙/朱丽娅·斯蒂尔斯/大卫·斯特雷泽恩/斯科特·格伦/帕迪·康斯戴恩,动作/悬疑/惊悚,,2007,https://movie.douban.com/subject/1578507/
电锯惊魂 Saw,8.7,613175,温子仁,温子仁/雷·沃纳尔,雷·沃纳尔/加利·艾尔维斯/丹尼·格洛弗/梁振邦/迪娜·迈耶,悬疑/惊悚/恐怖,,2004,https://movie.douban.com/subject/1417598/
高山下的花环,9.5,158794,谢晋,李存葆/李凖,吕晓禾/唐国强/何伟/童超/盖克,剧情/战争,,1984,https://movie.douban.com/subject/1422283/
无间道2 無間道II,8.8,567158,刘伟强,麦兆辉/庄文强,陈冠希/余文乐/曾志伟/黄秋生/吴镇宇,剧情/惊悚/犯罪,,2003,https://movie.douban.com/subject/1307106/
